#problem_size	time...
100	61.988831	50.067902	42.915344	
200	41.961670	39.815903	37.908554	
400	37.908554	36.954880	36.001205	
800	36.954880	36.001205	71.048737	
1600	69.856644	72.002411	71.048737	
3200	72.002411	72.002411	70.095062	
6400	72.002411	77.009201	73.194504	
12800	73.909760	76.055527	75.101852	
25600	79.870224	86.069107	79.870224	
51200	84.877014	81.062317	85.830688	
102400	91.075897	94.175339	91.075897	
204800	140.905380	140.905380	140.190125	
409600	102.996826	102.043152	102.996826	
819200	157.117844	157.117844	154.018402	
1638400	123.023987	131.845474	131.845474	
3276800	107.049942	106.096268	107.049942	
6553600	169.992447	166.893005	169.038773	
13107200	167.131424	167.846680	169.038773	
26214400	169.038773	169.038773	167.131424	
52428800	167.846680	168.085098	168.085098	
104857600	166.177750	167.131424	165.939331	
209715200	164.031982	164.031982	164.031982	
