#image_width	total_problem_size	#threads	time...
600	0.007348	0.013157	0.021834	0.031944	0.041161	0.048828	0.054971	0.061772	0.059494	0.060263	0.059158	
1000	0.006235	0.014274	0.025544	0.041141	0.060787	0.078106	0.097542	0.111107	0.119837	0.115705	0.119156	
1800	0.007574	0.014488	0.026703	0.045777	0.072881	0.100462	0.129056	0.151556	0.164000	0.155057	0.177725	
3400	0.007604	0.014945	0.028511	0.052290	0.090007	0.139636	0.199018	0.254779	0.278691	0.308973	0.355449	
6600	0.007700	0.015169	0.029510	0.055887	0.101327	0.167563	0.275375	0.401129	0.503065	0.579524	0.642805	
13000	0.007727	0.015307	0.030041	0.057970	0.108075	0.191166	0.336470	0.548051	0.780336	0.981124	1.135514	
25800	0.007738	0.015368	0.030312	0.059025	0.112044	0.203360	0.378451	0.662476	1.059753	1.484709	1.870630	
51400	0.007890	0.017035	0.033674	0.065810	0.125961	0.231340	0.441360	0.803098	1.382263	2.126221	2.747548	
102600	0.008640	0.017528	0.034708	0.068020	0.130632	0.241236	0.467739	0.882431	1.580194	2.611875	3.860992	
205000	0.008814	0.017542	0.034752	0.068195	0.131325	0.243623	0.476013	0.912658	1.671584	2.871351	4.467409	
409800	
