#image_width	total_problem_size	#threads	time...
820	1.923993	3.084047	4.346429	5.377313	6.260155	6.875908	6.875908	5.706536	7.358428	7.423547	7.423547	
1620	2.184533	3.804357	6.056757	4.660338	11.110739	12.427567	13.751816	14.217980	14.847094	14.847094	14.339501	
3220	2.353046	4.346429	7.540322	11.941079	17.032707	20.971520	24.314806	27.730936	28.435959	30.783883	29.694188	
6420	2.446550	4.663576	8.603701	14.814319	23.221060	32.736031	40.920039	50.081242	53.261003	57.358003	61.567765	
12820	2.496145	4.854167	9.243645	16.840367	28.617852	43.862003	61.567765	84.413665	97.259223	106.522006	110.923742	
25620	2.521705	4.953598	9.597263	18.076462	32.341621	53.261003	79.891505	127.826408	163.680156	193.119033	200.324967	
51220	2.534203	5.001592	9.786200	18.745493	34.414802	59.785180	94.187879	173.184165	250.874258	327.360312	335.544320	
102420	2.540679	5.029471	9.880757	19.075179	35.708075	63.235679	104.960100	209.715200	332.427809	483.667488	511.305630	
204820	2.543719	5.039385	9.922760	19.197959	36.287321	65.134475	110.638004	230.416700	399.903845	610.080582	673.192366	
409620	2.545226	5.046372	9.945507	19.338859	36.584049	66.106931	113.293783	239.808336	441.414933	720.632097	818.089009	
819220	2.545400	5.047202	9.950000	18.746311	34.554626	59.760224	95.656287	223.812782	411.198401	689.400850	846.298975	
1638420	2.530567	4.988565	9.726418	18.508004	33.778744	57.480826	89.961089	216.371148	401.962311	680.390859	860.714889	
3276820	2.531983	4.994329	9.747858	18.595448	34.021227	58.235858	91.819402	227.427445	440.170873	803.172940	1066.741334	
